class_id	class_smarts
Strychnidine	[#6]-[#6]~[#6]-1-[#6]-[#7]-2-[#6]-[#6]C34[#6]-2-[#6]-[#6]-1-[#6]-1-[#6]-[#6]-[#6]-[#7](-[#6]3-1)-c1ccccc41
Ulean	[*,#1]-[#7]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-1-c1c(-[#6]-2)n(-[*,#1])c2ccccc12
Vallesaman	[#6]-c:c-1-[#6]-[#7]-2-[#6]-[#6]-[#6]-1-[#6]-c1c(-[#6]-2)c2ccccc2n1-[*,#1]
Nor.Seco.Vallesaman	[#6]-c:c-1-[#6]-[#7](-[*,#1])-[#6]-[#6]-[#6]-1-[#6]-c1c(-[#1,!#6])c2ccccc2n1-[*,#1]
Vallesiachotaman	[#6]~[#6]~[#6](-c:[o])-[#6]~1-[#6]~[#6]-2-[#7](-[#6]~[#6]~1-c:[o])-[#6]-[#6]-c1c-2n(-[*,#1])c2ccccc12
Vindolinine	[*,#1]-[#7]1-c2ccccc2C23[#6]-[#6]-[#7]-4-[#6]-[#6]~[#6]C5([#6]-[#6]C12[#6]5)[#6]3-4
Vobasine	[*,#1]-[#7]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-1-[#6]-c1c(-[#6](=O)-[#6]-2)n(-[*,#1])c2ccccc12
Ervitsinan	[#6]-[#6]~[#6]-1-[#6]-[#7](-[*,#1])-[#6]-2-[#6]-[#6]-1-[#6]-[#6](=O)-c1c-2c2ccccc2n1-[*,#1]
Yohimbinoid	[*,#1]-n1c2-[#6]-3-[#6]-[#6]-4-[#6]-,=[#6]-[#6]-[#6]-[#6]-4-[#6]-[#7]-3-[#6]-[#6]-c2c2ccccc12
Criofolinan	[*,#1]-n1c2-[#6]-[#6]-3-[#6]-4-[#6]-[#6]-[#6]-[#6]-[#6]-4-[#6]-[#7]-3-[#6]-[#6]-c2c2ccccc12
scholarisiane	[#6]-1-[#6]C23[#6]-[#6]-4-[#6]-[#6](-nc-[#6]-1-4)-c2n-c1ccccc31
